id,title,authors,year,venue,DOI_or_URL,converter_topology,capacitor_role,estimated_parameters,required_sensors,external_injection,method,validation,reported_C_error,reported_ESR_error,sampling_requirement,open_code,adaptable_to_Cuk,direct_joint_C_ESR,kalman_class,rls_ls_class,inherent_no_injection,wavelet_reconstruction,Cuk_diagnosis_prognostic,evidence_note
L01,"Review of Health Monitoring Techniques for Capacitors Used in Power Electronics Converters","Soliman et al.",2020,Sensors,10.3390/s20133740,Review,Multiple,C and/or ESR,Method-dependent,Method-dependent,Review,Review,NR,NR,Method-dependent,No,Context only,No,No,No,No,No,No,"Taxonomy and limitations; not an algorithm baseline"
L02,"Review of condition monitoring methods for capacitors used in power converters","Nathan et al.",2023,Microelectronics Reliability,10.1016/j.microrel.2023.115003,Review,Multiple,C and/or ESR,Method-dependent,Method-dependent,Review,Review,NR,NR,Method-dependent,No,Context only,No,No,No,No,No,No,"Recent review anchor"
L03,"ESR and capacitance monitoring of a dc-link capacitor used in a three-phase PWM inverter with a front-end diode rectifier","Hasegawa; Nishizawa; Omura",2018,Microelectronics Reliability,10.1016/j.microrel.2018.07.023,Three-phase PWM inverter,DC-link,C and ESR,DC-link voltage and ripple current,No,Frequency separation of inherent ripple,Experiment,NR,NR,Multiple natural ripple bands,No,Yes,Yes,No,No,Yes,No,No,"Independent C/ESR extraction without added current"
L04,"A Current-Sensor-Less Online ESR and C Identification Method for Output Capacitor of Buck Converter","Yao; Tang; Hu; Lyu",2015,IEEE Transactions on Power Electronics,10.1109/TPEL.2014.2383436,Buck,Output filter,C and ESR,PWM and output voltage,No,Closed-form ripple model,Experiment,NR,NR,Specific within-cycle voltage samples,No,Yes,Yes,No,No,Yes,No,No,"Topology-specific closed-form comparator"
L05,"Parameter Observer Useable for the Condition Monitoring of a Capacitor","Barbulescu; Caiman; Dragomir",2022,Applied Sciences,10.3390/app12104891,Standalone/variable network,Device under test,C and ESR,Terminal voltage plus switched resistive network,Yes,Parameter observer,Experiment,NR,NR,Two discharge stages,No,Limited,Yes,No,No,No,No,No,"Quasi-online observer; extra network"
L06,"Implementation of Parameter Observer for Capacitors","Barbulescu; Caiman; Nanu; Dragomir",2023,Sensors,10.3390/s23020948,Standalone/variable network,Device under test,C and ESR,Terminal voltage plus switched resistive network,Yes,Discrete second-order observer,Experiment,NR,NR,Two-step discharge,No,Limited,Yes,No,No,No,No,No,"Hardware observer implementation"
L07,"DC-DC Buck Converters with Quasi-Online Estimation of Filter Capacitor Equivalent Parameters","Caiman; Barbulescu; Nanu; Dragomir",2024,Applied Sciences,10.3390/app142210756,Buck,Output filter,C and ESR,Capacitor voltage plus variable electrical network,Yes,Parameter observer,Experiment,"reported very good; no single aggregate",NR,Approximately 40 ms,No,Limited,Yes,No,No,No,No,No,"Requires converter/network reconfiguration"
L08,"Online Estimation of DC-link Capacitor Parameters of Three-Level NPC Converters Using Inherent Signals Analysis","Ribeiro; de Sousa; Oliveira; Lima; Han",2025,IEEE/CAA Journal of Automatica Sinica,10.1109/JAS.2025.125159,Three-level NPC,DC-link,C and ESR,Existing converter voltage/current signals,No,rnSDFT plus forgetting-factor RLS,Experiment,NR,NR,Sliding spectral window,No,Yes,Yes,No,Yes,Yes,Yes,No,"Strong inherent-signal/RLS reference"
L09,"Online condition monitoring for DC-link capacitors of three-level NPC converters using noninvasive signal injection","Ribeiro et al.",2024,Computers & Electrical Engineering,10.1016/j.compeleceng.2024.109577,Three-level NPC,DC-link,C and ESR,Existing converter signals,Yes,Interharmonic injection plus wavelet decomposition,Experiment,NR,NR,Interharmonic-cycle window,No,Yes,Yes,No,No,No,Yes,No,"Joint estimation but injection-based"
L10,"Wavelet-based estimation method for online condition monitoring of dc-link capacitors of distributed energy resources","Ribeiro et al.",2023,International Journal of Electrical Power & Energy Systems,10.1016/j.ijepes.2023.109141,Boost plus grid VSC,DC-link,C and ESR,Converter voltage and reconstructed current,Yes,Real-time stationary DWPT,Experiment,NR,NR,Wavelet packet window,No,Yes,Yes,No,No,No,Yes,No,"Public equations support only an adapted baseline"
