manuscript_figure,file,source_file,source_status,caption_boundary
fig:two_states,figures/fig01_cuk_topology.pdf,"cuk_cap_health_verification/model/simulate_switched_equation.m; docs/Cuk_energy_transfer_capacitor_health_theory_v0.2.md",V02_VECTOR_REDRAW,"formal topology and sign convention; no numeric data"
fig:framework,figures/fig02_observation_framework.pdf,"verification_v21/THEORY_CLOSURE_V21.md; paper_algorithm_selection_v2/FINAL_ESTIMATOR_DECISION.md",V025_READABILITY_REVISION,"larger internal type; path titles moved into boxes; T_w_C/T_w_R separated"
fig:observation_effect,figures/fig_observation_effect.pdf,paper_verification_v12/results/tables/table_observation_effect_bootstrap.csv,V031_VECTOR_REDRAW_FROM_FROZEN_CSV,"paired MAPE and p95 effects; adverse Dual-EKF ESR-p95 effect retained"
fig:pe_lower_bound,figures/fig_pe_lower_bound.png,paper_verification_v12/results/figures/fig_pv12_09_PE_lower_bound.png,FINAL_V12_INVARIANT,"frozen Model-B CCM cases"
fig:static_comparison,figures/fig_static_comparison.pdf,paper_algorithm_selection_v2/results/tables/table_algorithm_static_comparison.csv,V031_VECTOR_REDRAW_FROM_FROZEN_CSV,"O1 final estimator tradeoff; zero-baseline MAPE panels"
fig:noise_timing,figures/fig_noise_timing.pdf,paper_algorithm_selection_v2/results/tables/table_algorithm_noise_timing.csv,V031_VECTOR_REDRAW_FROM_FROZEN_CSV,"separate C/ESR p95 panels for the F28379D-realistic profile"
fig:joint_ramp,figures/fig_joint_ramp.pdf,paper_algorithm_selection_v2/results/raw/ramp_history.csv,V031_VECTOR_REDRAW_FROM_FROZEN_CSV,"trace-derived 1 s joint ramp; not measured aging"
fig:S4_operating_transient,figures/fig_operating_transient.png,paper_algorithm_selection_v2/results/figures/fig_alg_09_load_transient_false_health.png,FINAL_V2_RERUN_MOVED_TO_SUPPLEMENT,"health held constant; numeric result unchanged"
fig:complexity_pareto,figures/fig_complexity_pareto.pdf,"paper_algorithm_selection_v2/results/tables/table_algorithm_complexity.csv; paper_algorithm_selection_v2/results/tables/table_algorithm_static_comparison.csv",V031_VECTOR_REDRAW_FROM_FROZEN_CSV,"x is multiplications per accepted observation; y is arithmetic mean of C/ESR MAPE; no weighted score"
fig:S1_schedule,supplementary/figures/fig_f28379d_schedule.png,verification_v23/results/figures/fig_v23_03_soc_schedule.png,FINAL_V23,"migrated to supplementary; device-realistic schedule"
fig:S2_window,supplementary/figures/fig_f28379d_window.png,verification_v23/results/figures/fig_v23_02_full_aperture_edge_window.png,FINAL_V23,"migrated to supplementary; not hardware measurement"
fig:S3_f28379d_mc,supplementary/figures/fig_f28379d_monte_carlo.png,verification_v23/results/figures/fig_v23_12_monte_carlo_accuracy.png,FINAL_V23,"migrated to supplementary; main text retains table and numeric MC results"
