claim_id,manuscript_section,claim_text_short,claim_type,source_file,source_table_or_figure,source_row_or_metric,status
CLM-001,Abstract,"Primary novelty is topology-synchronous decoupled observation",contribution,paper_verification_v12/PAPER_VERIFICATION_V12_RESULT.md,"Section 2-3","OBSERVATION_FRAMEWORK_IS_PRIMARY_INNOVATION",VERIFIED_RERUN
CLM-002,Abstract,"TS-D-RLS is primary and TS-SLTVKE is extension",architecture,paper_algorithm_selection_v2/FINAL_ESTIMATOR_DECISION.md,"Questions 11-12","DUAL_REALIZATION",VERIFIED_RERUN
CLM-003,Abstract,"C mean MAPE 0.3727 percent",numeric,paper_algorithm_selection_v2/results/tables/table_algorithm_static_comparison.csv,"M1 TS-D-RLS Native","C_mean_MAPE_percent=0.372680462278862",VERIFIED_RERUN
CLM-004,Abstract,"ESR mean MAPE 0.2233 percent",numeric,paper_algorithm_selection_v2/results/tables/table_algorithm_static_comparison.csv,"M1 TS-D-RLS Native","ESR_mean_MAPE_percent=0.223280348154239",VERIFIED_RERUN
CLM-005,Abstract,"Mean convergence 13.21 cycles",numeric,paper_algorithm_selection_v2/results/tables/table_algorithm_static_comparison.csv,"M1 TS-D-RLS Native","convergence_cycles_mean=13.2109375",VERIFIED_RERUN
CLM-006,Abstract,"F28379D worst p95 C error 1.6425 percent",numeric,verification_v23/results/tables/result_metrics_v23.csv,"worst_p95_C_error_percent","value=1.6425",VERIFIED
CLM-007,Abstract,"F28379D worst p95 ESR error 2.6109 percent",numeric,verification_v23/results/tables/result_metrics_v23.csv,"worst_p95_ESR_error_percent","value=2.6109",VERIFIED
CLM-008,Introduction,"No direct high-overlap method found in 25-paper screen",literature_boundary,paper_verification_v1/literature/NOVELTY_BOUNDARY.md,"Direct answers and residual novelty risk","scoped screen; not an unqualified first claim",VERIFIED_LIMITED
CLM-009,Modeling,"Capacitor current equals (1-u)i1-u i2",equation,docs/Cuk_energy_transfer_capacitor_health_theory_v0.2.md,"Eq. (11)","topology sign convention independently checked",VERIFIED
CLM-010,Observation,"Ideal edge jump equals rC(i1+i2)",equation,docs/Cuk_energy_transfer_capacitor_health_theory_v0.2.md,"Eq. (73)","u:0 to 1 edge",VERIFIED
CLM-011,Observation,"Charge observation zC=(q/Cb) alpha_bar + noise",equation,verification_v21/THEORY_CLOSURE_V21.md,"Eq. (C1)","conditional ESR-compensated pseudo measurement",VERIFIED
CLM-012,Identifiability,"Weakest mu_C lower bound 0.217943",theory_numeric,paper_verification_v12/results/tables/table_physical_PE_lower_bound.csv,"MB-016","mu_C_lower=0.217943071478655",VERIFIED_INVARIANT
CLM-013,Identifiability,"Weakest mu_R lower bound 880.008",theory_numeric,paper_verification_v12/results/tables/table_physical_PE_lower_bound.csv,"MB-016","mu_R_lower=880.007784614625",VERIFIED_INVARIANT
CLM-014,Identifiability,"Minimum empirical/lower ratios 1.02872 and 1.02334",theory_numeric,paper_verification_v12/PAPER_THEORY_PROOF_V12.md,"Section 3","minimum ratios across 45 frozen cases",VERIFIED_INVARIANT
CLM-015,Identifiability,"Maximum C-direction fixed point 0.0112191",theory_numeric,paper_verification_v12/results/tables/table_covariance_bound_validation.csv,"noisy C_alpha","P_star=0.0112190757722215",VERIFIED_INVARIANT
CLM-016,Identifiability,"Maximum ESR fixed point 8.82437e-6",theory_numeric,paper_verification_v12/results/tables/table_covariance_bound_validation.csv,"noisy ESR","P_star=8.82437320730814e-06",VERIFIED_INVARIANT
CLM-017,Results,"RLS O0 to O1 C MAPE 7.0366 to 0.3727",factorial,paper_verification_v12/results/tables/table_observation_estimator_factorial.csv,"O0-E1 and O1-E1","C_MAPE_percent",VERIFIED_RERUN
CLM-018,Results,"RLS O0 to O1 ESR MAPE 1.1970 to 0.2233",factorial,paper_verification_v12/results/tables/table_observation_estimator_factorial.csv,"O0-E1 and O1-E1","ESR_MAPE_percent",VERIFIED_RERUN
CLM-019,Results,"RLS O0 to O1 convergence 665.41 to 13.21 cycles",factorial,paper_verification_v12/results/tables/table_observation_estimator_factorial.csv,"O0-E1 and O1-E1","mean_convergence_cycles",VERIFIED_RERUN
CLM-020,Results,"TS-SLTVKE abrupt C tail error 19.2911 percent",negative_result,paper_algorithm_selection_v2/PAPER_METHOD_COMPARISON.md,"Section 3","257-post-cycle failure retained",VERIFIED_RERUN
CLM-021,Results,"TS-SLTVKE abrupt ESR tail error 49.9384 percent",negative_result,paper_algorithm_selection_v2/PAPER_METHOD_COMPARISON.md,"Section 3","257-post-cycle failure retained",VERIFIED_RERUN
CLM-022,Results,"0.1 s aggregate tracking 0.1161 vs 0.2160 and lag 8.053 vs 22.027",dynamic,paper_algorithm_selection_v2/FINAL_ESTIMATOR_DECISION.md,"Question 3","TS-D-RLS vs TS-SLTVKE",VERIFIED_RERUN
CLM-023,Results,"1 s aggregate tracking 0.0163 vs 0.0454 and lag 1.360 vs 3.537",dynamic,paper_algorithm_selection_v2/FINAL_ESTIMATOR_DECISION.md,"Question 4","TS-D-RLS vs TS-SLTVKE",VERIFIED_RERUN
CLM-024,Results,"10 s aggregate tracking 0.0160 vs 0.0456 and lag 1.752 vs 4.492",dynamic,paper_algorithm_selection_v2/FINAL_ESTIMATOR_DECISION.md,"Question 5","TS-D-RLS vs TS-SLTVKE",VERIFIED_RERUN
CLM-025,Results,"100 s aggregate tracking 0.0213 vs 0.0477 and lag 2.827 vs 4.868",dynamic,paper_algorithm_selection_v2/FINAL_ESTIMATOR_DECISION.md,"Question 6","TS-D-RLS vs TS-SLTVKE",VERIFIED_RERUN
CLM-026,Results,"Mean operating transient false C 1.3017 vs 0.7570",dynamic,paper_algorithm_selection_v2/FINAL_ESTIMATOR_DECISION.md,"Question 8","TS-D-RLS vs TS-SLTVKE",VERIFIED_INVARIANT
CLM-027,Results,"Mean operating transient false ESR 1.8474 vs 5.1919",dynamic,paper_algorithm_selection_v2/FINAL_ESTIMATOR_DECISION.md,"Question 8","TS-D-RLS vs TS-SLTVKE",VERIFIED_RERUN
CLM-028,Results,"Complexity 28/46/62 multiplications per accepted observation",complexity,paper_algorithm_selection_v2/results/tables/table_algorithm_complexity.csv,"M1/M2/M3","multiplications_per_observation",VERIFIED_INVARIANT
CLM-029,Results,"Execution estimate 1.36/2.12/3.05 us per observation",complexity,paper_algorithm_selection_v2/results/tables/table_algorithm_complexity.csv,"M1/M2/M3","estimated_execution_us_per_observation",VERIFIED_INVARIANT
CLM-030,Results,"Joint uncertainty coverage 13.00/88.93/81.90 percent",uncertainty,paper_algorithm_selection_v2/results/tables/table_algorithm_uncertainty.csv,"M1/M2/M3","joint_95_coverage_percent",VERIFIED_RERUN
CLM-031,Device,"F28379D one-edge geometry g=0.5 us W=2.2 us N=3",device_numeric,verification_v23/results/tables/result_metrics_v23.csv,"selected_guard/window/points","locked selected geometry",VERIFIED
CLM-032,Device,"Full-aperture span 2.150 us and 0.050 us margin",device_numeric,verification_v23/results/tables/result_metrics_v23.csv,"full_aperture_span/margin","selected geometry",VERIFIED
CLM-033,Device,"ADC utilization 45.75 percent and DMA 4.0 MB/s",device_numeric,verification_v23/results/tables/result_metrics_v23.csv,"per_ADC_utilization and DMA_throughput","register-realizable schedule",VERIFIED
CLM-034,Device,"Plant common mode spans -34.343 to +34.698 V",device_numeric,verification_v23/results/tables/table_c1_commonmode.csv,"high_D","direct connection fails",VERIFIED
CLM-035,Device,"C CI coverage 93.5-97.5 and ESR 98-100 percent",device_numeric,verification_v23/F28379D_V23_DECISION.md,"device-level 200-seed validation","simulation only",VERIFIED
CLM-036,Device,"Firmware not compiled and WCET not measured",limitation,verification_v23/F28379D_COMPUTE_BUDGET.md,"final paragraph","release gate",VERIFIED
